time,latitude,longitude,depth,mag,magType,magSource
2023-11-07T09:04:40.711Z,-21.1327,-68.9756,115.511,4.8,mb,us
2023-11-07T08:54:32.990Z,19.29283333,-155.3848267,1.320000052,1.97000003,md,hv
2023-11-07T08:52:09.160Z,38.7856674,-122.7423325,1.47,1.05,md,nc
2023-11-07T08:38:14.240Z,19.2064991,-155.4998322,35.29999924,1.88,md,hv
2023-11-07T08:37:16.676Z,61.3372,-147.5004,26.4,1.2,ml,ak
2023-11-07T08:28:59.920Z,38.8171654,-122.8303299,1.22,0.99,md,nc
2023-11-07T08:28:07.885Z,38.0652,-116.2355,4.7,1.8,ml,nn
2023-11-07T08:26:44.660Z,19.39,-154.7773333,43.51,3.39,ml,hv
2023-11-07T08:21:31.132Z,58.8319,-153.6862,13.7,1.8,ml,ak
2023-11-07T08:14:13.249Z,63.631,-149.6054,123.4,3.2,ml,ak
2023-11-07T08:01:49.570Z,19.17266655,-155.4855042,28.09000015,1.92999995,md,hv
2023-11-07T08:00:25.470Z,33.3036667,-116.7778333,13.86,0.57,ml,ci
2023-11-07T07:47:09.674Z,-8.3462,160.7909,38.999,5.5,mww,us
2023-11-07T07:45:47.420Z,38.7866669,-122.7734985,1.54,1.09,md,nc
2023-11-07T07:35:47.420Z,38.7941666,-122.748497,1.81,0.82,md,nc
2023-11-07T07:31:35.400Z,19.19216728,-155.505661,32.77000046,2.1500001,md,hv
2023-11-07T07:30:45.952Z,-8.3377,160.89,43.558,5.4,mww,us
2023-11-07T07:29:09.980Z,17.92533333,-66.96966667,15.37,2.57,md,pr
2023-11-07T07:11:18.201Z,38.2065,-117.7713,6.7,1,ml,nn
2023-11-07T07:05:55.960Z,38.8201675,-122.7616653,1.93,0.76,md,nc
2023-11-07T06:50:26.904Z,38.0511,-116.2616,10.9,1.7,ml,nn
2023-11-07T06:49:43.802Z,59.7681,-153.6749,130.6,1.8,ml,ak
2023-11-07T06:36:13.711Z,62.8947,-150.7669,100.6,1.5,ml,ak
2023-11-07T06:33:24.780Z,38.8251648,-122.8533325,2.19,1.25,md,nc
2023-11-07T06:20:27.627Z,31.656,-104.315,5.1385,1.8,ml(texnet),tx
2023-11-07T06:06:06.221Z,57.8923,-156.0098,2.9,1.2,ml,ak
2023-11-07T06:01:38.598Z,60.3309,-152.1333,100.1,2.1,ml,ak
2023-11-07T05:54:14.430Z,33.6788333,-116.7903333,16.03,0.04,ml,ci
2023-11-07T05:53:45.870Z,33.6836667,-116.7906667,16.04,0.48,ml,ci
2023-11-07T05:53:22.960Z,17.9785,-66.9085,12.65,2.38,md,pr
2023-11-07T05:52:33.912Z,-23.1531,-67.8899,169.008,4.2,mb,us
2023-11-07T05:49:51.679Z,-8.2449,160.7759,10,4.9,mb,us
2023-11-07T05:44:30.326Z,31.655,-104.451,6.5429,2.6,ml(texnet),tx
2023-11-07T05:41:43.406Z,37.5187,-117.2177,6.6,1.4,ml,nn
2023-11-07T05:36:36.553Z,-10.2228,118.1776,24.825,4.8,mb,us
2023-11-07T05:26:50.430Z,34.0411682,-117.1240005,11.97,1.02,ml,ci
2023-11-07T05:24:16.375Z,63.5154,-147.4806,0,1.5,ml,ak
2023-11-07T05:10:33.465Z,31.653,-104.129,2.224,2,ml(texnet),tx
2023-11-07T05:03:35.690Z,38.8494987,-122.8190002,2.68,0.34,md,nc
2023-11-07T04:53:37.130Z,38.8363342,-122.7904968,1.68,0.69,md,nc
2023-11-07T04:47:26.430Z,38.8291664,-122.8541641,1.18,0.96,md,nc
2023-11-07T04:40:01.610Z,33.1126667,-116.539,11.82,1.3,ml,ci
2023-11-07T04:34:05.104Z,62.1033,-147.8871,32.4,0.9,ml,ak
2023-11-07T04:31:34.820Z,38.3621667,-112.63,7.26,0.79,md,uu
2023-11-07T04:29:02.999Z,31.695,-104.276,7.1279,1.9,ml(texnet),tx
2023-11-07T04:27:08.010Z,19.28716667,-155.3828333,2.89,2.15,ml,hv
2023-11-07T04:27:02.228Z,31.662,-104.312,6.1316,2.8,ml(texnet),tx
2023-11-07T04:23:31.030Z,38.8136673,-122.8146667,2.65,0.77,md,nc
2023-11-07T04:20:47.756Z,31.747,-104.172,4.2464,1.6,ml(texnet),tx
2023-11-07T04:02:46.698Z,31.664,-104.313,6.1316,3.4,ml(texnet),tx
2023-11-07T03:37:05.950Z,38.8338318,-122.8168335,1.12,0.63,md,nc
2023-11-07T03:33:46.371Z,-0.8851,-79.2441,16.139,5.1,mb,us
2023-11-07T03:18:55.956Z,60.1112,-147.089,18.7,2.3,ml,ak
2023-11-07T03:12:47.710Z,46.193,-122.185,3.52,1.35,ml,uw
2023-11-07T02:56:23.130Z,38.8223343,-122.8033371,2.85,0.77,md,nc
2023-11-07T02:51:13.810Z,19.29383333,-155.3813333,3.72,2.64,ml,hv
2023-11-07T02:39:35.210Z,19.33733333,-155.0965,3.58,2.28,ml,hv
2023-11-07T02:31:15.143Z,60.1786,-153.696,42.5,1.1,ml,ak
2023-11-07T02:25:08.085Z,62.0112,-150.8251,61.8,2.5,ml,ak
2023-11-07T02:16:53.620Z,19.21549988,-155.3849945,29.54999924,2.03999996,md,hv
2023-11-07T02:12:41.684Z,60.0559,-151.3981,54.7,1.6,ml,ak
2023-11-07T01:55:55.526Z,59.5042,-152.0614,60.6,1.8,ml,ak
2023-11-07T01:32:06.790Z,38.8214989,-122.8518295,2.58,1.42,md,nc
2023-11-07T01:30:39.220Z,19.24583244,-155.4008331,30.71999931,1.82000005,md,hv
2023-11-07T01:07:04.742Z,-16.8588,-72.1765,75.834,4.5,mb,us
2023-11-07T00:56:33.500Z,38.8406677,-122.8793335,2.31,0.67,md,nc
2023-11-07T00:55:25.515Z,64.6259,-149.1873,12,0.9,ml,ak
2023-11-07T00:53:39.876Z,-4.3211,153.0141,24.176,5.2,mww,us
2023-11-07T00:53:23.790Z,38.7798347,-122.7549973,0.92,0.76,md,nc
2023-11-07T00:47:19.396Z,60.6292,-152.0151,76.1,1.6,ml,ak
2023-11-07T00:41:25.300Z,17.941,-66.949,10.56,2.23,md,pr
2023-11-07T00:30:24.872Z,62.9803,-151.7789,10,1.9,ml,ak
2023-11-07T00:30:12.990Z,33.5186667,-116.531,11.3,1.04,ml,ci
2023-11-07T00:29:47.860Z,33.5158333,-116.5331667,11.02,1.26,ml,ci
2023-11-07T00:28:34.150Z,38.8301659,-122.7904968,1.92,1.3,md,nc
2023-11-07T00:14:04.790Z,18.0335,-68.2913,69,3.77,md,pr
2023-11-07T00:02:12.604Z,7.2862,91.6556,10,4.5,mb,us
2023-11-06T23:53:13.493Z,31.662,-104.311,6.183,1.5,ml(texnet),tx
2023-11-06T23:44:13.262Z,31.662,-104.306,6.3886,2.8,ml(texnet),tx
2023-11-06T23:42:28.110Z,38.8149986,-122.8235016,1.96,1.49,md,nc
2023-11-06T23:30:01.350Z,46.92166667,-120.5445,-0.89,1.48,ml,uw
2023-11-06T23:27:26.470Z,62.5978,-150.7054,74.1,1.8,ml,ak
2023-11-06T23:24:11.340Z,46.19933333,-122.1933333,1.92,0.36,ml,uw
2023-11-06T23:21:29.490Z,34.081665,-116.9836655,1.14,2.27,ml,ci
2023-11-06T23:20:21.960Z,33.909668,-116.746666,17.46,1.36,ml,ci
2023-11-06T23:15:53.723Z,57.4338,-154.1037,49.694,4.1,mb,us
2023-11-06T23:15:25.462Z,57.5046,-154.2321,28,3.9,ml,ak
2023-11-06T23:10:38.100Z,36.5714989,-121.1709976,3.23,1.56,md,nc
2023-11-06T23:01:34.184Z,31.684,-104.425,5.9886,1.7,ml(texnet),tx
2023-11-06T22:59:02.020Z,38.8375015,-122.8363342,1.14,0.92,md,nc
2023-11-06T22:26:09.830Z,47.697,-113.8178333,4.97,0.6,ml,mb
2023-11-06T22:22:01.511Z,60.1817,-151.1111,62.1,1.5,ml,ak
2023-11-06T22:10:51.761Z,65.926,-149.6751,24,1.4,ml,ak
2023-11-06T22:01:29.110Z,19.25016594,-155.4006653,32.11999893,2.28,ml,hv
2023-11-06T21:59:49.521Z,59.7573,-152.947,94.8,1.2,ml,ak
2023-11-06T21:31:03.550Z,40.382,-124.33,24.98,2.5,md,nc
2023-11-06T21:30:59.991Z,-7.4825,156.1122,26.361,5.3,mww,us
2023-11-06T21:22:54.660Z,38.8343315,-122.8170013,1.29,0.77,md,nc
2023-11-06T21:21:28.110Z,38.8378334,-122.8255005,1.16,0.63,md,nc
2023-11-06T21:18:42.140Z,35.5065002,-118.3844986,8.28,1.69,ml,ci
2023-11-06T21:12:52.689Z,5.2796,94.2452,30.255,4.7,mb,us
2023-11-06T21:11:18.250Z,38.8361664,-122.8119965,2.2,1.02,md,nc
2023-11-06T21:01:44.902Z,31.659,-104.309,5.0004,2.8,ml(texnet),tx
2023-11-06T21:00:19.226Z,31.665,-104.309,6.8514,0.7,ml(texnet),tx
2023-11-06T20:55:23.140Z,35.85916667,-98.06133333,6.15,1.36,ml,ok
2023-11-06T20:50:52.139Z,13.4576,120.8822,167.188,4.9,mww,us
2023-11-06T20:47:20.626Z,31.646,-104.313,4.011,1.7,ml(texnet),tx
2023-11-06T20:34:48.219Z,34.76416667,-98.4625,0,1.4,ml,ok
2023-11-06T20:33:19.900Z,33.5181667,-116.5245,11.68,0.89,ml,ci
2023-11-06T20:28:03.000Z,33.6265,-116.722,15.15,0.7,ml,ci
2023-11-06T20:26:26.370Z,46.606,-119.8576667,5.78,0.93,ml,uw
2023-11-06T20:13:16.320Z,36.1956673,-117.9833298,0.95,2.9,ml,ci
2023-11-06T20:09:35.792Z,58.8317,-153.6986,15.8,1.4,ml,ak
2023-11-06T20:02:50.646Z,63.0524,-148.2414,65.4,1.6,ml,ak
2023-11-06T19:55:23.600Z,34.9886665,-118.1981659,0.64,1.28,ml,ci
2023-11-06T19:51:09.482Z,32.005,-104.015,5.8841,1.6,ml(texnet),tx
2023-11-06T19:49:54.460Z,61.8525,-149.5991,16.1,1.4,ml,ak
2023-11-06T19:41:31.610Z,37.9878349,-122.4491653,1.55,1.58,md,nc
2023-11-06T19:34:35.890Z,38.8243332,-122.8099976,0.83,1.22,md,nc
2023-11-06T19:31:59.010Z,38.8231659,-122.8078308,0.79,2.14,md,nc
2023-11-06T19:30:29.705Z,57.7489,-155.9518,11.2,1.4,ml,ak
2023-11-06T19:30:05.410Z,38.8321648,-122.8148346,1.27,1.94,md,nc
2023-11-06T19:23:56.870Z,38.8354988,-122.7916641,1.61,0.8,md,nc
2023-11-06T19:11:22.173Z,51.1208,-176.8474,18.9,2.1,ml,ak
2023-11-06T19:00:11.305Z,10.6378,-62.3114,10,4.5,mb,us
2023-11-06T18:57:41.024Z,60.3048,-152.2986,85.1,1.9,ml,ak
2023-11-06T18:55:38.970Z,19.216,-155.3728333,33.08,3.68,ml,hv
2023-11-06T18:55:37.390Z,37.0553322,-121.1291656,-0.18,2.4,md,nc
2023-11-06T18:50:32.505Z,61.9984,-149.9274,30.8,1.4,ml,ak
